date,latitude,longitude,temperature_instant_°C,precipitation_mm,predictability_percent,temperature_min_°C,temperature_max_°C,temperature_mean_°C,sealevelpressure_min_hPa,sealevelpressure_max_hPa,sealevelpressure_mean_hPa,windspeed_min_ms-1,windspeed_max_ms-1,windspeed_mean_ms-1,humiditygreater90_hours_percent,convective_precipitation_percent,relativehumidity_min_percent,relativehumidity_max_percent,relativehumidity_mean_percent,winddirection_degree,precipitation_probability_percent,uvindex,rainspot,predictability_class
2025-05-20,16.295,16.295,26.86,9.5,49,26.27,32.05,28.75,1003,1007,1005,0.84,3.27,2.05,0.38,9.5,70,98,86,180,76,11,3333333333333333333333333333333333233333333333333,3.0
2025-05-21,16.295,16.295,27.26,14.6,43,26.81,31.43,28.59,1004,1007,1005,1.33,4.34,2.56,0.29,14.6,71,96,87,180,75,11,3333333333333333333333333333333333333333333333333,3.0
2025-05-22,16.295,16.295,27.21,12.2,50,26.85,31.15,28.57,1004,1007,1005,1.01,3.94,2.35,0.29,12.2,74,97,87,180,77,12,3333333333333333333333333333333333333333333333333,3.0
2025-05-16,16.295,16.295,26.01,12.5,52,25.59,28.93,27.12,1006,1009,1007,0.88,3.43,1.81,0.5,12.5,80,97,90,135,77,8,3333333333333333333333333333333333333333333333333,3.0
2025-05-17,16.295,16.295,26.24,6.1,55,25.67,29.8,27.48,1006,1009,1007,0.79,3.92,2.24,0.46,6.1,80,98,90,135,68,10,3333333333333333333333333333333333233333323333321,3.0
2025-05-18,16.295,16.295,26.6,7.9,48,26.11,30.31,27.99,1005,1009,1007,1.18,3.73,2.29,0.46,7.9,76,99,89,135,81,10,3333333333333333333333333333333333333333333333332,3.0
2025-05-19,16.295,16.295,26.57,12.2,45,25.88,31.25,28.2,1005,1008,1006,0.35,3.17,1.83,0.42,12.2,75,100,88,180,85,11,3333333333333333333333333333333333333333333333333,3.0
2025-05-20,16.295,16.295,26.86,9.5,49,26.27,32.05,28.75,1003,1007,1005,0.84,3.27,2.05,0.38,9.5,70,98,86,180,76,11,3333333333333333333333333333333333233333333333333,3.0
2025-05-21,16.295,16.295,27.26,14.6,43,26.81,31.43,28.59,1004,1007,1005,1.33,4.34,2.56,0.29,14.6,71,96,87,180,75,11,3333333333333333333333333333333333333333333333333,3.0
2025-05-22,16.295,16.295,27.21,12.2,50,26.85,31.15,28.57,1004,1007,1005,1.01,3.94,2.35,0.29,12.2,74,97,87,180,77,12,3333333333333333333333333333333333333333333333333,3.0
2025-05-16,16.295,16.295,26.01,12.5,52,25.59,28.93,27.12,1006,1009,1007,0.88,3.43,1.81,0.5,12.5,80,97,90,135,77,8,3333333333333333333333333333333333333333333333333,3.0
2025-05-17,16.295,16.295,26.24,6.1,55,25.67,29.8,27.48,1006,1009,1007,0.79,3.92,2.24,0.46,6.1,80,98,90,135,68,10,3333333333333333333333333333333333233333323333321,3.0
2025-05-18,16.295,16.295,26.6,7.9,48,26.11,30.31,27.99,1005,1009,1007,1.18,3.73,2.29,0.46,7.9,76,99,89,135,81,10,3333333333333333333333333333333333333333333333332,3.0
2025-05-19,16.295,16.295,26.57,12.2,45,25.88,31.25,28.2,1005,1008,1006,0.35,3.17,1.83,0.42,12.2,75,100,88,180,85,11,3333333333333333333333333333333333333333333333333,3.0
2025-05-20,16.295,16.295,26.86,9.5,49,26.27,32.05,28.75,1003,1007,1005,0.84,3.27,2.05,0.38,9.5,70,98,86,180,76,11,3333333333333333333333333333333333233333333333333,3.0
2025-05-21,16.295,16.295,27.26,14.6,43,26.81,31.43,28.59,1004,1007,1005,1.33,4.34,2.56,0.29,14.6,71,96,87,180,75,11,3333333333333333333333333333333333333333333333333,3.0
2025-05-22,16.295,16.295,27.21,12.2,50,26.85,31.15,28.57,1004,1007,1005,1.01,3.94,2.35,0.29,12.2,74,97,87,180,77,12,3333333333333333333333333333333333333333333333333,3.0
2025-05-16,16.295,16.295,26.01,12.5,52,25.59,28.93,27.12,1006,1009,1007,0.88,3.43,1.81,0.5,12.5,80,97,90,135,77,8,3333333333333333333333333333333333333333333333333,3.0
2025-05-17,16.295,16.295,26.24,6.1,55,25.67,29.8,27.48,1006,1009,1007,0.79,3.92,2.24,0.46,6.1,80,98,90,135,68,10,3333333333333333333333333333333333233333323333321,3.0
2025-05-18,16.295,16.295,26.6,7.9,48,26.11,30.31,27.99,1005,1009,1007,1.18,3.73,2.29,0.46,7.9,76,99,89,135,81,10,3333333333333333333333333333333333333333333333332,3.0
2025-05-19,16.295,16.295,26.57,12.2,45,25.88,31.25,28.2,1005,1008,1006,0.35,3.17,1.83,0.42,12.2,75,100,88,180,85,11,3333333333333333333333333333333333333333333333333,3.0
2025-05-20,16.295,16.295,26.86,9.5,49,26.27,32.05,28.75,1003,1007,1005,0.84,3.27,2.05,0.38,9.5,70,98,86,180,76,11,3333333333333333333333333333333333233333333333333,3.0
2025-05-21,16.295,16.295,27.26,14.6,43,26.81,31.43,28.59,1004,1007,1005,1.33,4.34,2.56,0.29,14.6,71,96,87,180,75,11,3333333333333333333333333333333333333333333333333,3.0
2025-05-22,16.295,16.295,27.21,12.2,50,26.85,31.15,28.57,1004,1007,1005,1.01,3.94,2.35,0.29,12.2,74,97,87,180,77,12,3333333333333333333333333333333333333333333333333,3.0
2025-05-16,16.295,16.295,26.01,12.5,52,25.59,28.93,27.12,1006,1009,1007,0.88,3.43,1.81,0.5,12.5,80,97,90,135,77,8,3333333333333333333333333333333333333333333333333,3.0
2025-05-17,16.295,16.295,26.24,6.1,55,25.67,29.8,27.48,1006,1009,1007,0.79,3.92,2.24,0.46,6.1,80,98,90,135,68,10,3333333333333333333333333333333333233333323333321,3.0
2025-05-18,16.295,16.295,26.6,7.9,48,26.11,30.31,27.99,1005,1009,1007,1.18,3.73,2.29,0.46,7.9,76,99,89,135,81,10,3333333333333333333333333333333333333333333333332,3.0
2025-05-19,16.295,16.295,26.57,12.2,45,25.88,31.25,28.2,1005,1008,1006,0.35,3.17,1.83,0.42,12.2,75,100,88,180,85,11,3333333333333333333333333333333333333333333333333,3.0
2025-05-20,16.295,16.295,26.86,9.5,49,26.27,32.05,28.75,1003,1007,1005,0.84,3.27,2.05,0.38,9.5,70,98,86,180,76,11,3333333333333333333333333333333333233333333333333,3.0
2025-05-21,16.295,16.295,27.26,14.6,43,26.81,31.43,28.59,1004,1007,1005,1.33,4.34,2.56,0.29,14.6,71,96,87,180,75,11,3333333333333333333333333333333333333333333333333,3.0
2025-05-22,16.295,16.295,27.21,12.2,50,26.85,31.15,28.57,1004,1007,1005,1.01,3.94,2.35,0.29,12.2,74,97,87,180,77,12,3333333333333333333333333333333333333333333333333,3.0
2025-05-16,16.295,16.295,26.01,12.5,52,25.59,28.93,27.12,1006,1009,1007,0.88,3.43,1.81,0.5,12.5,80,97,90,135,77,8,3333333333333333333333333333333333333333333333333,3.0
2025-05-17,16.295,16.295,26.24,6.1,55,25.67,29.8,27.48,1006,1009,1007,0.79,3.92,2.24,0.46,6.1,80,98,90,135,68,10,3333333333333333333333333333333333233333323333321,3.0
2025-05-18,16.295,16.295,26.6,7.9,48,26.11,30.31,27.99,1005,1009,1007,1.18,3.73,2.29,0.46,7.9,76,99,89,135,81,10,3333333333333333333333333333333333333333333333332,3.0
2025-05-19,16.295,16.295,26.57,12.2,45,25.88,31.25,28.2,1005,1008,1006,0.35,3.17,1.83,0.42,12.2,75,100,88,180,85,11,3333333333333333333333333333333333333333333333333,3.0
2025-05-20,16.295,16.295,26.86,9.5,49,26.27,32.05,28.75,1003,1007,1005,0.84,3.27,2.05,0.38,9.5,70,98,86,180,76,11,3333333333333333333333333333333333233333333333333,3.0
2025-05-21,16.295,16.295,27.26,14.6,43,26.81,31.43,28.59,1004,1007,1005,1.33,4.34,2.56,0.29,14.6,71,96,87,180,75,11,3333333333333333333333333333333333333333333333333,3.0
2025-05-22,16.295,16.295,27.21,12.2,50,26.85,31.15,28.57,1004,1007,1005,1.01,3.94,2.35,0.29,12.2,74,97,87,180,77,12,3333333333333333333333333333333333333333333333333,3.0
2025-05-16,16.295,16.295,26.01,12.5,52,25.59,28.93,27.12,1006,1009,1007,0.88,3.43,1.81,0.5,12.5,80,97,90,135,77,8,3333333333333333333333333333333333333333333333333,3.0
2025-05-17,16.295,16.295,26.24,6.1,55,25.67,29.8,27.48,1006,1009,1007,0.79,3.92,2.24,0.46,6.1,80,98,90,135,68,10,3333333333333333333333333333333333233333323333321,3.0
2025-05-18,16.295,16.295,26.6,7.9,48,26.11,30.31,27.99,1005,1009,1007,1.18,3.73,2.29,0.46,7.9,76,99,89,135,81,10,3333333333333333333333333333333333333333333333332,3.0
2025-05-19,16.295,16.295,26.57,12.2,45,25.88,31.25,28.2,1005,1008,1006,0.35,3.17,1.83,0.42,12.2,75,100,88,180,85,11,3333333333333333333333333333333333333333333333333,3.0
2025-05-20,16.295,16.295,26.86,9.5,49,26.27,32.05,28.75,1003,1007,1005,0.84,3.27,2.05,0.38,9.5,70,98,86,180,76,11,3333333333333333333333333333333333233333333333333,3.0
2025-05-21,16.295,16.295,27.26,14.6,43,26.81,31.43,28.59,1004,1007,1005,1.33,4.34,2.56,0.29,14.6,71,96,87,180,75,11,3333333333333333333333333333333333333333333333333,3.0
2025-05-22,16.295,16.295,27.21,12.2,50,26.85,31.15,28.57,1004,1007,1005,1.01,3.94,2.35,0.29,12.2,74,97,87,180,77,12,3333333333333333333333333333333333333333333333333,3.0
2025-05-16,16.295,16.295,26.01,12.5,52,25.59,28.93,27.12,1006,1009,1007,0.88,3.43,1.81,0.5,12.5,80,97,90,135,77,8,3333333333333333333333333333333333333333333333333,3.0
2025-05-17,16.295,16.295,26.24,6.1,55,25.67,29.8,27.48,1006,1009,1007,0.79,3.92,2.24,0.46,6.1,80,98,90,135,68,10,3333333333333333333333333333333333233333323333321,3.0
2025-05-18,16.295,16.295,26.6,7.9,48,26.11,30.31,27.99,1005,1009,1007,1.18,3.73,2.29,0.46,7.9,76,99,89,135,81,10,3333333333333333333333333333333333333333333333332,3.0
2025-05-19,16.295,16.295,26.57,12.2,45,25.88,31.25,28.2,1005,1008,1006,0.35,3.17,1.83,0.42,12.2,75,100,88,180,85,11,3333333333333333333333333333333333333333333333333,3.0
2025-05-20,16.295,16.295,26.86,9.5,49,26.27,32.05,28.75,1003,1007,1005,0.84,3.27,2.05,0.38,9.5,70,98,86,180,76,11,3333333333333333333333333333333333233333333333333,3.0
2025-05-21,16.295,16.295,27.26,14.6,43,26.81,31.43,28.59,1004,1007,1005,1.33,4.34,2.56,0.29,14.6,71,96,87,180,75,11,3333333333333333333333333333333333333333333333333,3.0
2025-05-22,16.295,16.295,27.21,12.2,50,26.85,31.15,28.57,1004,1007,1005,1.01,3.94,2.35,0.29,12.2,74,97,87,180,77,12,3333333333333333333333333333333333333333333333333,3.0
2025-05-16,16.295,16.295,26.01,12.5,52,25.59,28.93,27.12,1006,1009,1007,0.88,3.43,1.81,0.5,12.5,80,97,90,135,77,8,3333333333333333333333333333333333333333333333333,3.0
2025-05-17,16.295,16.295,26.24,6.1,55,25.67,29.8,27.48,1006,1009,1007,0.79,3.92,2.24,0.46,6.1,80,98,90,135,68,10,3333333333333333333333333333333333233333323333321,3.0
2025-05-18,16.295,16.295,26.6,7.9,48,26.11,30.31,27.99,1005,1009,1007,1.18,3.73,2.29,0.46,7.9,76,99,89,135,81,10,3333333333333333333333333333333333333333333333332,3.0
2025-05-19,16.295,16.295,26.57,12.2,45,25.88,31.25,28.2,1005,1008,1006,0.35,3.17,1.83,0.42,12.2,75,100,88,180,85,11,3333333333333333333333333333333333333333333333333,3.0
2025-05-20,16.295,16.295,26.86,9.5,49,26.27,32.05,28.75,1003,1007,1005,0.84,3.27,2.05,0.38,9.5,70,98,86,180,76,11,3333333333333333333333333333333333233333333333333,3.0
2025-05-21,16.295,16.295,27.26,14.6,43,26.81,31.43,28.59,1004,1007,1005,1.33,4.34,2.56,0.29,14.6,71,96,87,180,75,11,3333333333333333333333333333333333333333333333333,3.0
2025-05-22,16.295,16.295,27.21,12.2,50,26.85,31.15,28.57,1004,1007,1005,1.01,3.94,2.35,0.29,12.2,74,97,87,180,77,12,3333333333333333333333333333333333333333333333333,3.0
2025-05-16,16.295,16.295,26.01,12.5,52,25.59,28.93,27.12,1006,1009,1007,0.88,3.43,1.81,0.5,12.5,80,97,90,135,77,8,3333333333333333333333333333333333333333333333333,3.0
2025-05-17,16.295,16.295,26.24,6.1,55,25.67,29.8,27.48,1006,1009,1007,0.79,3.92,2.24,0.46,6.1,80,98,90,135,68,10,3333333333333333333333333333333333233333323333321,3.0
2025-05-18,16.295,16.295,26.6,7.9,48,26.11,30.31,27.99,1005,1009,1007,1.18,3.73,2.29,0.46,7.9,76,99,89,135,81,10,3333333333333333333333333333333333333333333333332,3.0
2025-05-19,16.295,16.295,26.57,12.2,45,25.88,31.25,28.2,1005,1008,1006,0.35,3.17,1.83,0.42,12.2,75,100,88,180,85,11,3333333333333333333333333333333333333333333333333,3.0
2025-05-20,16.295,16.295,26.86,9.5,49,26.27,32.05,28.75,1003,1007,1005,0.84,3.27,2.05,0.38,9.5,70,98,86,180,76,11,3333333333333333333333333333333333233333333333333,3.0
2025-05-21,16.295,16.295,27.26,14.6,43,26.81,31.43,28.59,1004,1007,1005,1.33,4.34,2.56,0.29,14.6,71,96,87,180,75,11,3333333333333333333333333333333333333333333333333,3.0
2025-05-22,16.295,16.295,27.21,12.2,50,26.85,31.15,28.57,1004,1007,1005,1.01,3.94,2.35,0.29,12.2,74,97,87,180,77,12,3333333333333333333333333333333333333333333333333,3.0
2025-05-16,16.295,16.295,26.01,12.5,52,25.59,28.93,27.12,1006,1009,1007,0.88,3.43,1.81,0.5,12.5,80,97,90,135,77,8,3333333333333333333333333333333333333333333333333,3.0
2025-05-17,16.295,16.295,26.24,6.1,55,25.67,29.8,27.48,1006,1009,1007,0.79,3.92,2.24,0.46,6.1,80,98,90,135,68,10,3333333333333333333333333333333333233333323333321,3.0
2025-05-18,16.295,16.295,26.6,7.9,48,26.11,30.31,27.99,1005,1009,1007,1.18,3.73,2.29,0.46,7.9,76,99,89,135,81,10,3333333333333333333333333333333333333333333333332,3.0
2025-05-19,16.295,16.295,26.57,12.2,45,25.88,31.25,28.2,1005,1008,1006,0.35,3.17,1.83,0.42,12.2,75,100,88,180,85,11,3333333333333333333333333333333333333333333333333,3.0
2025-05-20,16.295,16.295,26.86,9.5,49,26.27,32.05,28.75,1003,1007,1005,0.84,3.27,2.05,0.38,9.5,70,98,86,180,76,11,3333333333333333333333333333333333233333333333333,3.0
2025-05-21,16.295,16.295,27.26,14.6,43,26.81,31.43,28.59,1004,1007,1005,1.33,4.34,2.56,0.29,14.6,71,96,87,180,75,11,3333333333333333333333333333333333333333333333333,3.0
2025-05-22,16.295,16.295,27.21,12.2,50,26.85,31.15,28.57,1004,1007,1005,1.01,3.94,2.35,0.29,12.2,74,97,87,180,77,12,3333333333333333333333333333333333333333333333333,3.0
2025-05-16,16.295,16.295,26.01,12.5,52,25.59,28.93,27.12,1006,1009,1007,0.88,3.43,1.81,0.5,12.5,80,97,90,135,77,8,3333333333333333333333333333333333333333333333333,3.0
2025-05-17,16.295,16.295,26.24,6.1,55,25.67,29.8,27.48,1006,1009,1007,0.79,3.92,2.24,0.46,6.1,80,98,90,135,68,10,3333333333333333333333333333333333233333323333321,3.0
2025-05-18,16.295,16.295,26.6,7.9,48,26.11,30.31,27.99,1005,1009,1007,1.18,3.73,2.29,0.46,7.9,76,99,89,135,81,10,3333333333333333333333333333333333333333333333332,3.0
2025-05-19,16.295,16.295,26.57,12.2,45,25.88,31.25,28.2,1005,1008,1006,0.35,3.17,1.83,0.42,12.2,75,100,88,180,85,11,3333333333333333333333333333333333333333333333333,3.0
2025-05-20,16.295,16.295,26.86,9.5,49,26.27,32.05,28.75,1003,1007,1005,0.84,3.27,2.05,0.38,9.5,70,98,86,180,76,11,3333333333333333333333333333333333233333333333333,3.0
2025-05-21,16.295,16.295,27.26,14.6,43,26.81,31.43,28.59,1004,1007,1005,1.33,4.34,2.56,0.29,14.6,71,96,87,180,75,11,3333333333333333333333333333333333333333333333333,3.0
2025-05-22,16.295,16.295,27.21,12.2,50,26.85,31.15,28.57,1004,1007,1005,1.01,3.94,2.35,0.29,12.2,74,97,87,180,77,12,3333333333333333333333333333333333333333333333333,3.0
2025-05-16,16.295,16.295,26.01,12.5,52,25.59,28.93,27.12,1006,1009,1007,0.88,3.43,1.81,0.5,12.5,80,97,90,135,77,8,3333333333333333333333333333333333333333333333333,3.0
2025-05-17,16.295,16.295,26.24,6.1,55,25.67,29.8,27.48,1006,1009,1007,0.79,3.92,2.24,0.46,6.1,80,98,90,135,68,10,3333333333333333333333333333333333233333323333321,3.0
2025-05-18,16.295,16.295,26.6,7.9,48,26.11,30.31,27.99,1005,1009,1007,1.18,3.73,2.29,0.46,7.9,76,99,89,135,81,10,3333333333333333333333333333333333333333333333332,3.0
2025-05-19,16.295,16.295,26.57,12.2,45,25.88,31.25,28.2,1005,1008,1006,0.35,3.17,1.83,0.42,12.2,75,100,88,180,85,11,3333333333333333333333333333333333333333333333333,3.0
2025-05-20,16.295,16.295,26.86,9.5,49,26.27,32.05,28.75,1003,1007,1005,0.84,3.27,2.05,0.38,9.5,70,98,86,180,76,11,3333333333333333333333333333333333233333333333333,3.0
2025-05-21,16.295,16.295,27.26,14.6,43,26.81,31.43,28.59,1004,1007,1005,1.33,4.34,2.56,0.29,14.6,71,96,87,180,75,11,3333333333333333333333333333333333333333333333333,3.0
2025-05-22,16.295,16.295,27.21,12.2,50,26.85,31.15,28.57,1004,1007,1005,1.01,3.94,2.35,0.29,12.2,74,97,87,180,77,12,3333333333333333333333333333333333333333333333333,3.0
2025-05-16,16.295,16.295,26.01,12.5,52,25.59,28.93,27.12,1006,1009,1007,0.88,3.43,1.81,0.5,12.5,80,97,90,135,77,8,3333333333333333333333333333333333333333333333333,3.0
2025-05-17,16.295,16.295,26.24,6.1,55,25.67,29.8,27.48,1006,1009,1007,0.79,3.92,2.24,0.46,6.1,80,98,90,135,68,10,3333333333333333333333333333333333233333323333321,3.0
2025-05-18,16.295,16.295,26.6,7.9,48,26.11,30.31,27.99,1005,1009,1007,1.18,3.73,2.29,0.46,7.9,76,99,89,135,81,10,3333333333333333333333333333333333333333333333332,3.0
2025-05-19,16.295,16.295,26.57,12.2,45,25.88,31.25,28.2,1005,1008,1006,0.35,3.17,1.83,0.42,12.2,75,100,88,180,85,11,3333333333333333333333333333333333333333333333333,3.0
2025-05-20,16.295,16.295,26.86,9.5,49,26.27,32.05,28.75,1003,1007,1005,0.84,3.27,2.05,0.38,9.5,70,98,86,180,76,11,3333333333333333333333333333333333233333333333333,3.0
2025-05-21,16.295,16.295,27.26,14.6,43,26.81,31.43,28.59,1004,1007,1005,1.33,4.34,2.56,0.29,14.6,71,96,87,180,75,11,3333333333333333333333333333333333333333333333333,3.0
2025-05-22,16.295,16.295,27.21,12.2,50,26.85,31.15,28.57,1004,1007,1005,1.01,3.94,2.35,0.29,12.2,74,97,87,180,77,12,3333333333333333333333333333333333333333333333333,3.0
2025-05-16,16.295,16.295,26.01,12.5,52,25.59,28.93,27.12,1006,1009,1007,0.88,3.43,1.81,0.5,12.5,80,97,90,135,77,8,3333333333333333333333333333333333333333333333333,3.0
2025-05-17,16.295,16.295,26.24,6.1,55,25.67,29.8,27.48,1006,1009,1007,0.79,3.92,2.24,0.46,6.1,80,98,90,135,68,10,3333333333333333333333333333333333233333323333321,3.0
2025-05-18,16.295,16.295,26.6,7.9,48,26.11,30.31,27.99,1005,1009,1007,1.18,3.73,2.29,0.46,7.9,76,99,89,135,81,10,3333333333333333333333333333333333333333333333332,3.0
2025-05-19,16.295,16.295,26.57,12.2,45,25.88,31.25,28.2,1005,1008,1006,0.35,3.17,1.83,0.42,12.2,75,100,88,180,85,11,3333333333333333333333333333333333333333333333333,3.0
2025-05-20,16.295,16.295,26.86,9.5,49,26.27,32.05,28.75,1003,1007,1005,0.84,3.27,2.05,0.38,9.5,70,98,86,180,76,11,3333333333333333333333333333333333233333333333333,3.0
2025-05-21,16.295,16.295,27.26,14.6,43,26.81,31.43,28.59,1004,1007,1005,1.33,4.34,2.56,0.29,14.6,71,96,87,180,75,11,3333333333333333333333333333333333333333333333333,3.0
2025-05-22,16.295,16.295,27.21,12.2,50,26.85,31.15,28.57,1004,1007,1005,1.01,3.94,2.35,0.29,12.2,74,97,87,180,77,12,3333333333333333333333333333333333333333333333333,3.0
2025-05-16,16.295,16.295,26.01,12.5,52,25.59,28.93,27.12,1006,1009,1007,0.88,3.43,1.81,0.5,12.5,80,97,90,135,77,8,3333333333333333333333333333333333333333333333333,3.0
2025-05-17,16.295,16.295,26.24,6.1,55,25.67,29.8,27.48,1006,1009,1007,0.79,3.92,2.24,0.46,6.1,80,98,90,135,68,10,3333333333333333333333333333333333233333323333321,3.0
2025-05-18,16.295,16.295,26.6,7.9,48,26.11,30.31,27.99,1005,1009,1007,1.18,3.73,2.29,0.46,7.9,76,99,89,135,81,10,3333333333333333333333333333333333333333333333332,3.0
2025-05-19,16.295,16.295,26.57,12.2,45,25.88,31.25,28.2,1005,1008,1006,0.35,3.17,1.83,0.42,12.2,75,100,88,180,85,11,3333333333333333333333333333333333333333333333333,3.0
2025-05-20,16.295,16.295,26.86,9.5,49,26.27,32.05,28.75,1003,1007,1005,0.84,3.27,2.05,0.38,9.5,70,98,86,180,76,11,3333333333333333333333333333333333233333333333333,3.0
2025-05-21,16.295,16.295,27.26,14.6,43,26.81,31.43,28.59,1004,1007,1005,1.33,4.34,2.56,0.29,14.6,71,96,87,180,75,11,3333333333333333333333333333333333333333333333333,3.0
2025-05-22,16.295,16.295,27.21,12.2,50,26.85,31.15,28.57,1004,1007,1005,1.01,3.94,2.35,0.29,12.2,74,97,87,180,77,12,3333333333333333333333333333333333333333333333333,3.0
2025-05-16,16.295,16.295,26.01,12.5,52,25.59,28.93,27.12,1006,1009,1007,0.88,3.43,1.81,0.5,12.5,80,97,90,135,77,8,3333333333333333333333333333333333333333333333333,3.0
2025-05-17,16.295,16.295,26.24,6.1,55,25.67,29.8,27.48,1006,1009,1007,0.79,3.92,2.24,0.46,6.1,80,98,90,135,68,10,3333333333333333333333333333333333233333323333321,3.0
2025-05-18,16.295,16.295,26.6,7.9,48,26.11,30.31,27.99,1005,1009,1007,1.18,3.73,2.29,0.46,7.9,76,99,89,135,81,10,3333333333333333333333333333333333333333333333332,3.0
2025-05-19,16.295,16.295,26.57,12.2,45,25.88,31.25,28.2,1005,1008,1006,0.35,3.17,1.83,0.42,12.2,75,100,88,180,85,11,3333333333333333333333333333333333333333333333333,3.0
2025-05-20,16.295,16.295,26.86,9.5,49,26.27,32.05,28.75,1003,1007,1005,0.84,3.27,2.05,0.38,9.5,70,98,86,180,76,11,3333333333333333333333333333333333233333333333333,3.0
2025-05-21,16.295,16.295,27.26,14.6,43,26.81,31.43,28.59,1004,1007,1005,1.33,4.34,2.56,0.29,14.6,71,96,87,180,75,11,3333333333333333333333333333333333333333333333333,3.0
2025-05-22,16.295,16.295,27.21,12.2,50,26.85,31.15,28.57,1004,1007,1005,1.01,3.94,2.35,0.29,12.2,74,97,87,180,77,12,3333333333333333333333333333333333333333333333333,3.0
2025-05-16,16.295,16.295,26.01,12.5,52,25.59,28.93,27.12,1006,1009,1007,0.88,3.43,1.81,0.5,12.5,80,97,90,135,77,8,3333333333333333333333333333333333333333333333333,3.0
2025-05-17,16.295,16.295,26.24,6.1,55,25.67,29.8,27.48,1006,1009,1007,0.79,3.92,2.24,0.46,6.1,80,98,90,135,68,10,3333333333333333333333333333333333233333323333321,3.0
2025-05-18,16.295,16.295,26.6,7.9,48,26.11,30.31,27.99,1005,1009,1007,1.18,3.73,2.29,0.46,7.9,76,99,89,135,81,10,3333333333333333333333333333333333333333333333332,3.0
2025-05-19,16.295,16.295,26.57,12.2,45,25.88,31.25,28.2,1005,1008,1006,0.35,3.17,1.83,0.42,12.2,75,100,88,180,85,11,3333333333333333333333333333333333333333333333333,3.0
2025-05-20,16.295,16.295,26.86,9.5,49,26.27,32.05,28.75,1003,1007,1005,0.84,3.27,2.05,0.38,9.5,70,98,86,180,76,11,3333333333333333333333333333333333233333333333333,3.0
2025-05-21,16.295,16.295,27.26,14.6,43,26.81,31.43,28.59,1004,1007,1005,1.33,4.34,2.56,0.29,14.6,71,96,87,180,75,11,3333333333333333333333333333333333333333333333333,3.0
2025-05-22,16.295,16.295,27.21,12.2,50,26.85,31.15,28.57,1004,1007,1005,1.01,3.94,2.35,0.29,12.2,74,97,87,180,77,12,3333333333333333333333333333333333333333333333333,3.0
2025-05-16,16.295,16.295,26.01,12.5,52,25.59,28.93,27.12,1006,1009,1007,0.88,3.43,1.81,0.5,12.5,80,97,90,135,77,8,3333333333333333333333333333333333333333333333333,3.0
2025-05-17,16.295,16.295,26.24,6.1,55,25.67,29.8,27.48,1006,1009,1007,0.79,3.92,2.24,0.46,6.1,80,98,90,135,68,10,3333333333333333333333333333333333233333323333321,3.0
2025-05-18,16.295,16.295,26.6,7.9,48,26.11,30.31,27.99,1005,1009,1007,1.18,3.73,2.29,0.46,7.9,76,99,89,135,81,10,3333333333333333333333333333333333333333333333332,3.0
2025-05-19,16.295,16.295,26.57,12.2,45,25.88,31.25,28.2,1005,1008,1006,0.35,3.17,1.83,0.42,12.2,75,100,88,180,85,11,3333333333333333333333333333333333333333333333333,3.0
2025-05-20,16.295,16.295,26.86,9.5,49,26.27,32.05,28.75,1003,1007,1005,0.84,3.27,2.05,0.38,9.5,70,98,86,180,76,11,3333333333333333333333333333333333233333333333333,3.0
